method,split,k,group_type,group_name,count,evidence_recall_at_k,complete_recall_at_k,search_success,mrr,tool_calls,latency_ms,latency_ms_p95,text_read_tokens,evidence_gain_step2,stop_accuracy
oracle,final,1,task_type,exact_file_lookup,60,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333,1.0,14.028255999767119,23.459835001081196,489.43333333333334,,
oracle,final,1,task_type,multi_hop_relation,60,0.9,0.0,0.0,0.9,1.0,25.325191667344836,166.31215499838194,445.5833333333333,,
oracle,final,1,task_type,semantic_fact,60,0.95,0.95,0.95,0.95,1.0,10.196331998076705,14.523594990372615,481.73333333333335,,
oracle,final,3,task_type,exact_file_lookup,60,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.925,1.0,14.028255999767119,23.459835001081196,489.43333333333334,,
oracle,final,3,task_type,multi_hop_relation,60,0.9833333333333333,0.6666666666666666,0.6666666666666666,0.9416666666666667,1.0,25.325191667344836,166.31215499838194,445.5833333333333,,
oracle,final,3,task_type,semantic_fact,60,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9666666666666667,1.0,10.196331998076705,14.523594990372615,481.73333333333335,,
oracle,final,5,task_type,exact_file_lookup,60,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.925,1.0,14.028255999767119,23.459835001081196,489.43333333333334,,
oracle,final,5,task_type,multi_hop_relation,60,1.0,0.75,0.75,0.9458333333333333,1.0,25.325191667344836,166.31215499838194,445.5833333333333,,
oracle,final,5,task_type,semantic_fact,60,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9666666666666667,1.0,10.196331998076705,14.523594990372615,481.73333333333335,,
rule_router,final,1,overall,overall,180,0.8222222222222222,0.5666666666666667,0.5666666666666667,0.8222222222222222,1.0,2100.5402950017815,6616.726079996673,445.6277777777778,,
rule_router,final,3,overall,overall,180,0.9388888888888889,0.7833333333333333,0.7833333333333333,0.875,1.0,2100.5402950017815,6616.726079996673,445.6277777777778,,
rule_router,final,5,overall,overall,180,0.9666666666666667,0.8222222222222222,0.8222222222222222,0.8813888888888889,1.0,2100.5402950017815,6616.726079996673,445.6277777777778,,
rule_router,final,1,task_type,exact_file_lookup,60,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,13.504255000750224,20.889624999463553,496.9166666666667,,
rule_router,final,1,task_type,multi_hop_relation,60,0.7666666666666667,0.0,0.0,0.7666666666666667,1.0,2706.7723616696894,6775.073460016398,430.3666666666667,,
rule_router,final,1,task_type,semantic_fact,60,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,1.0,3581.3442683349053,8385.405975009498,409.6,,
rule_router,final,3,task_type,exact_file_lookup,60,0.95,0.95,0.95,0.8861111111111111,1.0,13.504255000750224,20.889624999463553,496.9166666666667,,
rule_router,final,3,task_type,multi_hop_relation,60,0.9,0.43333333333333335,0.43333333333333335,0.8277777777777777,1.0,2706.7723616696894,6775.073460016398,430.3666666666667,,
rule_router,final,3,task_type,semantic_fact,60,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9111111111111111,1.0,3581.3442683349053,8385.405975009498,409.6,,
rule_router,final,5,task_type,exact_file_lookup,60,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.8902777777777777,1.0,13.504255000750224,20.889624999463553,496.9166666666667,,
rule_router,final,5,task_type,multi_hop_relation,60,0.9666666666666667,0.5333333333333333,0.5333333333333333,0.8427777777777777,1.0,2706.7723616696894,6775.073460016398,430.3666666666667,,
rule_router,final,5,task_type,semantic_fact,60,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9111111111111111,1.0,3581.3442683349053,8385.405975009498,409.6,,
two_stage_agent,final,1,overall,overall,180,0.8111111111111111,0.55,0.55,0.8111111111111111,1.4388888888888889,2536.0221105554037,6398.227605011308,635.8555555555556,-0.011111111111111112,0.45
two_stage_agent,final,3,overall,overall,180,0.9555555555555556,0.8,0.8,0.8759259259259259,1.4388888888888889,2536.0221105554037,6398.227605011308,635.8555555555556,0.027777777777777776,0.5555555555555556
two_stage_agent,final,5,overall,overall,180,0.9666666666666667,0.8555555555555555,0.8555555555555555,0.8781481481481481,1.4388888888888889,2536.0221105554037,6398.227605011308,635.8555555555556,0.03333333333333333,0.5833333333333334
two_stage_agent,final,1,task_type,exact_file_lookup,60,0.8,0.8,0.8,0.8,1.65,856.192476665477,3650.722950015958,759.3666666666667,-0.03333333333333333,0.4166666666666667
two_stage_agent,final,1,task_type,multi_hop_relation,60,0.7833333333333333,0.0,0.0,0.7833333333333333,1.3333333333333333,3095.7814333334563,6262.762365005165,585.4,0.016666666666666666,0.3333333333333333
two_stage_agent,final,1,task_type,semantic_fact,60,0.85,0.85,0.85,0.85,1.3333333333333333,3656.092421667278,9814.888985008001,562.8,-0.016666666666666666,0.6
